P,W,D,L,F,A,+/-,Pts,W/L,D/L,F/A,CORE INDEX,,,,P,W,D,L,F,A,+/-,Pts,W/L,D/L,F/A,CORE INDEX,,,,,,P,W,D,L,F,A,+/-,Pts,W/L,D/L,F/A,CORE INDEX,,,,,,P,W,D,L,F,A,+/-,Pts,W/L,D/L,F/A,CORE INDEX,,,,,P,W,D,L,F,A,+/-,Pts,W/L,D/L,F/A,CORE INDEX,,,,,,,,,,,,,,,,
38,11,8,19,31,58,-27,41,0.578947368,0.421052632,0.534482759,0.543963521,,,,38,11,10,17,43,53,-10,43,0.647058824,0.588235294,0.811320755,0.703968036,,,,,,38,12,9,17,47,61,-14,45,0.705882353,0.529411765,0.770491803,0.70720675,,,,,,34,10,6,18,51,64,-13,36,0.555555556,0.333333333,0.796875,0.589828472,,,,,34,10,6,18,39,62,-23,36,0.555555556,0.333333333,0.629032258,0.528006989,,,,,,,,,,Source of Variation,SS,df,MS,F,P-value,F crit
38,11,7,20,42,55,-13,40,0.55,0.35,0.763636364,0.572852727,,,,38,11,9,18,42,45,-3,42,0.611111111,0.5,0.933333333,0.72295,,,,,,38,10,13,15,37,49,-12,43,0.666666667,0.866666667,0.755102041,0.705127891,,,,,,34,10,5,19,40,72,-32,35,0.526315789,0.263157895,0.555555556,0.498459064,,,,,34,10,6,18,42,71,-29,36,0.555555556,0.333333333,0.591549296,0.522403286,,,,,,,,,,Between Groups,3.434400966,4,0.858600242,0.48850434,0.744140973,2.471791489
38,11,6,21,37,71,-34,39,0.523809524,0.285714286,0.521126761,0.487070624,,,,38,10,12,16,34,45,-11,42,0.625,0.75,0.755555556,0.678406945,,,,,,38,9,15,14,48,62,-14,42,0.642857143,1.071428571,0.774193548,0.710894931,,,,,,34,9,7,18,42,63,-21,34,0.5,0.388888889,0.666666667,0.529411111,,,,,34,9,5,20,32,71,-39,32,0.45,0.25,0.450704225,0.415425282,,,,,,,,,,Within Groups,159.9425339,91,1.757610262,,,
38,9,11,18,38,68,-30,38,0.5,0.611111111,0.558823529,0.531468627,,,,38,10,12,16,30,53,-23,42,0.625,0.75,0.566037736,0.609517217,,,,,,38,8,12,18,33,46,-13,36,0.444444444,0.666666667,0.717391304,0.530361353,,,,,,34,7,12,15,45,57,-12,33,0.466666667,0.8,0.789473684,0.597958246,,,,,34,6,10,18,33,65,-32,28,0.333333333,0.555555556,0.507692308,0.397933333,,,,,,,,,,,,,,,,
38,8,12,18,34,57,-23,36,0.444444444,0.666666667,0.596491228,0.515940351,,,,38,11,8,19,49,65,-16,41,0.578947368,0.421052632,0.753846154,0.635007287,,,,,,38,6,13,19,31,62,-31,31,0.315789474,0.684210526,0.5,0.391905263,,,,,,34,7,10,17,35,71,-36,31,0.411764706,0.588235294,0.492957746,0.457338774,,,,,34,5,4,25,26,69,-43,19,0.2,0.16,0.376811594,0.219497333,,,,,,,,,,Total,163.3769348,95,,,,
38,9,7,22,51,68,-17,34,0.409090909,0.318181818,0.75,0.480136364,,,,38,11,7,20,33,63,-30,40,0.55,0.35,0.523809524,0.530959762,,,,,,38,7,10,21,31,59,-28,31,0.333333333,0.476190476,0.525423729,0.392675222,,,,,,34,7,8,19,42,69,-27,29,0.368421053,0.421052632,0.608695652,0.439657895,,,,,34,4,6,24,31,75,-44,18,0.166666667,0.25,0.413333333,0.217993333,,,,,,,,,,,,,,,,
38,7,10,21,48,78,-30,31,0.333333333,0.476190476,0.615384615,0.425150549,,,,38,8,13,17,52,69,-17,37,0.470588235,0.764705882,0.753623188,0.58747144,,,,,,38,5,12,21,36,69,-33,27,0.238095238,0.571428571,0.52173913,0.335878675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,6,7,25,36,73,-37,25,0.24,0.28,0.493150685,0.30904389,,,,38,5,10,23,30,67,-37,25,0.217391304,0.434782609,0.447761194,0.311478585,,,,,,38,3,10,25,24,71,-47,19,0.12,0.4,0.338028169,0.197136563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W/L,D/L,F/A,,,,4.53,1.16,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W/L,8.137665797,2.048472578,1.746178801,,,,4.781892931,4.781892931,4.781892931,,,,,,,,,,,,,,,,,
,,,,W/L,D/L,F/A,,2.41,0.609,1,,,,,,,,W/L,D/L,F/A,,1.62,0.131,1,,,,,,,,,,,W/L,D/L,F/A,,2.71,0.336,1,,,,,,,,,,W/L,D/L,F/A,,,2.24,0.508,1,,,,,,,,D/L,2.048472578,0.599940777,0.493355389,,,,0.947323595,0.242581759,0.209122206,1.39902756,,,,,,,,,,,,,,,,
,,,W/L,2.111101437,0.487086018,0.866314623,,2.679362051,2.679362051,2.679362051,,,,,,,W/L,1.252604461,0.103822943,0.76129419,,1.908287452,1.908287452,1.908287452,,,,,,,,,,W/L,2.195484973,0.269820871,0.795850281,,2.90809147,2.90809147,2.90809147,,,,,,,,,W/L,1.096352085,0.236503546,0.484568523,,,2.505127542,2.505127542,2.505127542,,,,,,,,F/A,1.746178801,0.493355389,0.57415382,,,,1.39902756,1.39902756,1.39902756,,,,,,,,,,,,,,,,,
,,,D/L,0.487086018,0.318233422,0.210086053,,0.899467841,0.227292911,0.373223171,1.499983923,,,,,,D/L,0.103822943,0.030615815,0.053307854,,0.848928707,0.068647939,0.524030066,1.441606712,,,,,,,,,D/L,0.269820871,0.084808611,0.08733174,,0.931882655,0.115539694,0.343868138,1.391290488,,,,,,,,D/L,0.236503546,0.104475024,0.111847025,,,0.894166051,0.202784086,0.399181273,1.49613141,,,,,,,,,,,,,,0.677130045,0.173393124,0.149476831,1,,,,,,,,,,,,,,,,
,,,F/A,0.866314623,0.210086053,0.374151661,,1.499983923,1.499983923,1.499983923,,,,,,,F/A,0.76129419,0.053307854,0.486605786,,1.441606712,1.441606712,1.441606712,,,,,,,,,,F/A,0.795850281,0.08733174,0.332735474,,1.391290488,1.391290488,1.391290488,,,,,,,,,F/A,0.484568523,0.111847025,0.22588799,,,1.49613141,1.49613141,1.49613141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.599651655,0.151530231,0.248818114,1,,,,,,,,,,,0.588876772,0.047619048,0.36350418,1,,,,,,,,,,,,,,0.669797331,0.083044983,0.247157687,1,,,,,,,,,,,,,,0.597652081,0.135538954,0.266808965,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
