Teams,P,W,D,L,F,A,+/-,Pts,WR,DR,League
Ajax,34,20,9,5,86,38,48,69,4,1.8,Eredivisie
AZ Alkmaar,34,20,7,7,68,35,33,67,2.857142857,1,Eredivisie
FC Twente,34,18,10,6,66,27,39,64,3,1.666666667,Eredivisie
Sparta Rotterdam,34,17,8,9,60,37,23,59,1.888888889,0.888888889,Eredivisie
FC Utrecht,34,15,9,10,55,50,5,54,1.5,0.9,Eredivisie
sc Heerenveen,34,12,10,12,44,50,-6,46,1,0.833333333,Eredivisie
RKC Waalwijk,34,11,8,15,50,64,-14,41,0.733333333,0.533333333,Eredivisie
Vitesse,34,10,10,14,45,50,-5,40,0.714285714,0.714285714,Eredivisie
Go Ahead Eagles,34,10,10,14,46,56,-10,40,0.714285714,0.714285714,Eredivisie
NEC Nijmegen,34,8,15,11,42,45,-3,39,0.727272727,1.363636364,Eredivisie
Fortuna Sittard,34,10,6,18,39,62,-23,36,0.555555556,0.333333333,Eredivisie
Volendam,34,10,6,18,42,71,-29,36,0.555555556,0.333333333,Eredivisie
Excelsior Rotterdam,34,9,5,20,32,71,-39,32,0.45,0.25,Eredivisie
FC Emmen,34,6,10,18,33,65,-32,28,0.333333333,0.555555556,Eredivisie
SC Cambuur,34,5,4,25,26,69,-43,19,0.2,0.16,Eredivisie
FC Groningen,34,4,6,24,31,75,-44,18,0.166666667,0.25,Eredivisie
